alcohol_percent,country,discount_price,grape_variety,price,producer,product_name,wine_color,year
14,CHILE,7.99,Cabernet Sauvignon,11.99,,Santa Rita Medalla Real Cabernet Sauvignon 2016 Maipo Valley,Red,2016
13,FRANCE,7.99,Rose,8.99,,Haut Vol Rosé 2018 VdF,Rose,2018
12,USA,8.99,Riesling,10.99,,Parcel Series Riesling 2017,White,2017
14,ITALY,14.99,Big Red,16.99,,Valpolicella Superiore Ripasso 2016 La Casetta,Red,2016
13,NEW ZEALAND,22.99,Sauvignon Blanc,25.99,,Cloudy Bay Sauvignon Blanc 2018 Marlborough,White,2018
13.5,CHILE,5.99,Big Red,8.99,,Santa Rita 120 Carménère 2018 Central Valley,Red,2018
12,CHILE,5.84,Sauvignon Blanc,6.49,,Silver Ghost Sauvignon Blanc 2017 Central Valley,White,2017
13,FRANCE,11.99,Chardonnay,13.99,,Mâcon-Lugny 2017 Louis Latour,White,2017
13,FRANCE,17.99,Rose,22.99,,Whispering Angel Rosé 2018,Rose,2018
13.5,USA,13.99,Rich White,15.99,,Bread & Butter Chardonnay 2017,White,2017
13,FRANCE,7.99,Rose,9.99,,Jas de Vignes IGP Mediterranee Rosé 2018,Rose,2018
13,NEW ZEALAND,8.99,Sauvignon Blanc,10.99,,Villa Maria Private Bin Sauvignon Blanc 2018 Marlborough,White,2018
12,CHILE,5.84,Cabernet Sauvignon,6.49,,Silver Ghost Cabernet Sauvignon 2016 Central Valley,Red,2016
12.5,NEW ZEALAND,8.49,Fruity White,9.49,,Mud House Sauvignon Blanc 2018 Marlborough,White,2018
12.5,FRANCE,11.99,Rose,13.99,,"Peyrassol, Reserve des Templiers Rosé 2018 Côtes de Provence",Rose,2018
13,FRANCE,25.99,Rose,28.99,,AIX Rosé 2018 Coteaux d'Aix en Provence Magnum,Rose,2018
14.5,CHILE,14.99,"Grenache, Syrah, Mourvèdre",16.99,,LFE 900 Single-Vineyard 2013 Colchagua Valley,Red,2013
13.5,CHILE,7.99,Big Red,9.99,,Luis Felipe Edwards Gran Reserva Merlot 2017 Colchagua Valley,Red,2017
13.5,CHILE,6.99,Fruity White,7.99,,Luis Felipe Edwards Signature Series Viognier Reserva 2017/18 Rapel Valley,White,2017
13,CHILE,6.99,Sauvignon Blanc,7.99,,Lady Sauvignon 2018 Casablanca Valley,White,2018
13.5,CHILE,6.99,Big Red,7.99,,Lastarria Malbec 2018,Red,2018
14.5,SPAIN,7.99,Tempranillo,9.99,,Finca Carelio Tempranillo 2015 Vino de la Tierra,Red,2015
12.5,FRANCE,7.99,Fruity White,9.99,,Villemarin Picpoul de Pinet 2018 Côteaux du Languedoc,White,2018
13.5,FRANCE,9.99,Rose,11.99,,Domaine La Chautarde Rosé 2018 Côteaux Varois en Provence,Rose,2018
12.5,NEW ZEALAND,6.99,Sauvignon Blanc,10.49,,Oyster Bay Sauvignon Blanc 2018 Marlborough,White,2018
13,FRANCE,11.99,Rose,14.99,,M de Minuty Rosé 2018 Côtes de Provence,Rose,2018
12.5,ITALY,7.99,Pinot Grigio,8.99,,Pinot Grigio Rosé 2018 Delle Venezie,Rose,2018
12.5,ITALY,7.99,Pinot Grigio,8.99,,Pinot Grigio Superiore 2018 Breganze,White,2018
13.5,SOUTH AFRICA,7.49,Viognier,9.99,,Men in White Coats Viognier,White,
13.5,FRANCE,10.99,"Cabernet Sauvignon, Cabernet Franc, Merlot",12.99,,Château Méaume 2015 Bordeaux Supérieur,Red,2015
13.5,SPAIN,9.99,Smooth Red,13.99,,Rioja Reserva 2013/14 CVNE,Red,2013
13,FRANCE,7.99,Fruity White,9.99,,Abbotts & Delaunay Viognier 2018,White,2018
12,ITALY,5.99,Pinot Grigio,7.99,,Pinot Grigio Villa Vito 2018,White,2018
12,FRANCE,7.99,"Picpoul, Sauvignon Blanc",9.99,,Symbiose Piquepoul Sauvignon Blanc 'Cuvée Florence' 2017 Côtes de Thau,White,2017
13,NEW ZEALAND,17.99,Sauvignon Blanc,19.99,,Greywacke Sauvignon 2018 Marlborough,White,2018
14.2,AUSTRALIA,17.99,Shiraz,21.99,,"'Angels' Share' Shiraz 2018 Two Hands, McLaren Vale",Red,2018
12.5,FRANCE,12.99,Rose,14.99,,Château de Berne Rosé 2018 Côtes de Provence,Rose,2018
14.5,ARGENTINA,9.99,Big Red,11.99,,Definition Malbec 2018,Red,2018
14.5,SPAIN,8.99,Big Red,9.99,,Matsu El Picaro 2018 Toro,Red,2018
14,SPAIN,16.99,Smooth Red,18.99,,Rioja Reserva 2015 Muga,Red,2015
14.5,AUSTRALIA,29.0,Shiraz,33.0,,Penfolds Bin 28 Kalimna Shiraz 2016 South Australia,Red,2016
14,PORTUGAL,9.99,Smooth Red,11.99,,Porta 6 Reserva 2017,Red,2017
14,USA,9.99,Pinot Noir,15.99,,Edna Valley Pinot Noir 2016,Red,2016
14,AUSTRALIA,10.99,Shiraz,15.99,,"The Lodge Hill Shiraz 2016/17 Jim Barry, Clare Valley",Red,2016
14.5,SOUTH AFRICA,13.99,"Malbec, Petit Verdot, Cabernet Franc, Merlot, Cabernet Sauvignon",17.99,,Rustenberg John X Merriman 2016 Stellenbosch,Red,2016
12.5,HUNGARY,5.99,Crisp White,6.99,,Majestic Loves Gruner Veltliner 2018,White,2018
14.5,FRANCE,6.74,"Mourvèdre, Cinsault, Syrah, Grenache",7.99,,Petit Perdigal Rouge 2018,Red,2018
12.5,GERMANY,10.99,Crisp White,12.99,,Peter & Ulrich Dry Riesling 2018,White,2018
12,ITALY,6.66,Pinot Grigio,9.99,,Ammazza Pinot Grigio IGT,White,
14,FRANCE,11.99,"Shiraz, Syrah",13.99,,Crozes-Hermitage 2017 Cuvee Pallatin ,Red,2017
13,FRANCE,10.99,Rose,12.99,,Château Pigoudet La Chapelle Rosé 2017 Coteaux dAix-en-Provence,Rose,2017
13,CHILE,4.99,Crisp White,7.99,,Valle Antigua Chardonnay 2018,White,2018
12.5,FRANCE,8.99,Viognier,11.99,,Jaboulet Viognier 2018,White,2018
14,SPAIN,6.99,Smooth Red,9.99,,Rioja Crianza 2015 CVNE,Red,2015
13.5,ITALY,11.99,Big Red,13.99,,Valpolicella Ripasso 2017 Villa Borghetti,Red,2017
14,NEW ZEALAND,17.99,Fruity Red,24.0,,Craggy Range Te Muna Road Pinot Noir 2016 Martinborough,Red,2016
13,NEW ZEALAND,9.99,Sauvignon Blanc,12.99,,Waimea Estate Sauvignon Blanc 2017 Nelson,White,2017
12,FRANCE,8.99,Melon de Bourgogne,9.99,,Muscadet de Sèvre et Maine Sur Lie 2018 Domaine de la Tourmaline,White,2018
12,NEW ZEALAND,16.99,Sauvignon Blanc,19.99,,Saint Clair Pioneer Block Sauvignon Blanc 2016 Marlborough,White,2016
12.5,SOUTH AFRICA,5.99,Merlot,7.99,,Acacia Road Merlot 2018,Red,2018
13,ITALY,8.99,Fruity White,11.99,,Passimento Bianco 2017 Pasqua,White,2017
13.5,ARGENTINA,5.99,Malbec,7.99,,Avior Malbec 2018,Red,2018
12.5,SPAIN,7.99,Rich White,9.99,,Rioja Blanco 2018 López de Haro,White,2018
13,NEW ZEALAND,8.99,Sauvignon Blanc,10.99,,Black Cottage Sauvignon Blanc 2018 Marlborough,White,2018
12.5,FRANCE,20.99,Chardonnay,23.99,,Chablis 1er CR Monts & Vallees,White,
13,USA,7.99,Viognier,8.99,,Nettie Viognier 2017,White,2017
14.5,ARGENTINA,8.99,Malbec,9.99,,"Parrilla Malbec 2017 Viñalba, Mendoza",Red,2017
12.5,FRANCE,11.99,"Gamay, Pinot Noir",13.99,,Mâcon Rouge 'Les Roches Rouges' 2017 Louis Jadot,Red,2017
13,PORTUGAL,7.99,Smooth Red,9.99,,"Agenda, Dão Manager's Choice 2016",Red,2016
12.5,FRANCE,10.99,Pinot Noir,13.99,,Bourgogne Pinot Noir 2017 Nicolas Potel,Red,2017
14.5,SOUTH AFRICA,22.0,"Viognier, Cinsault, Cabernet Sauvignon, Grenache, Syrah",25.0,,"The Chocolate Block 2017 Boekenhoutskloof, Western Cape",Red,2017
12.5,FRANCE,5.99,Malbec,6.99,,La Baume Grande Olivette Malbec 2017 VdF,Red,2017
14,ARGENTINA,9.99,Malbec,12.99,,"Marcelo Pelleriti Malbec 2018 Valle De Uco, Mendoza",Red,2018
13,NEW ZEALAND,8.49,Chardonnay,10.49,,Oyster Bay Chardonnay 2016 Marlborough,White,2016
12.5,FRANCE,12.74,Rose,16.99,,Sancerre Rosé 2017 Jean-Marie Berthier,Rose,2017
14,SOUTH AFRICA,9.99,Chenin Blanc,12.99,,Definition Chenin Blanc 2018,White,2018
15,ITALY,19.99,Big Red,22.99,,Amarone Classico 'Vigneti di Roccolo' 2016 Cantina Negrar,Red,2016
13.5,NEW ZEALAND,12.99,Rich White,15.99,,The King's Legacy Chardonnay 2017 Marlborough,White,2017
13,ITALY,11.99,Big Red,13.99,,Montepulciano d'Abruzzo 2016 Masciarelli,Red,2016
