,alcohol_percent,country,discount_price,grape_variety,price,producer,product_name,wine_color,year
61,13.0,Greece,6.9,Agiorgitiko,7.5,Palivos,Anemos - Red (2231),Red,2003
62,12.5,Greece,9.62,Malagouzia,10.7,Symeonidis,Symeonidis - Malagouzia  (2073),White,2018
63,13.5,Greece,13.34,Syrah,14.5,Karipidis,Karipidis - Syrah (2381),Red,2013
64,13.3,Greece,16.1,Agiorgitiko,17.5,Akrathos,Philosopher (4080),Red,2015
65,14.5,Greece,15.36,Pinot Noir,16.7,ALPHA,Alpha Estate - Pinot Noir (100),Red,2017
66,14.0,Greece,12.33,Syrah,13.4,ALPHA,Alpha Estate - Syrah Chelones (1997),Red,2016
67,13.0,Greece,9.84,Malagouzia,10.7,ALPHA,Alpha Estate - Malagouzia (2246),White,2018
68,13.5,Greece,8.83,Krasato,9.6,Tsantalis,Rapsani (11),Red,2016
69,12.5,Greece,9.11,Malagouzia,9.9,Anastasia Fragou,Neilys Malagouzia (2316),White,2018
70,14.5,Greece,21.34,Merlot,23.2,ALPHA,Alpha Estate - Red (1994),Red,2016
71,12.8,Greece,10.03,Cabernet Sauvignon,10.9,Claudia Papayianni,CP Red (2546),Red,2016
72,13.238694638694637,Greece,5.52,Cabernet Sauvignon,6.0,Cavino,Nea Dris- Cabernet (4092),Red,2018
73,13.5,Greece,14.81,Cabernet Sauvignon,16.1,Chatzimichalis,Hatzimichalis Estate - Cabernet Sauvignon (47),Red,2011
74,12.0,Greece,7.62,Roditis,8.5,Gaia,Retinitis Nobilis (233),White,2018
75,14.0,Greece,22.91,Agiorgitiko,24.9,Gaia,Gaia Estate - Red (234),Red,2016
76,13.5,Greece,8.98,Agiorgitiko,10.0,Gaia,Agiorgitiko Gaia (236),Red,2017
77,12.0,Greece,9.66,Chardonnay,10.5,Tsantalis,Kanenas - White (537),White,2018
78,13.8,Greece,19.94,Agiorgitiko,21.7,Gaia,Anatolikos (239),Red,2006
79,13.0,Greece,10.26,Agiorgitiko,11.4,Semeli,Semeli Nemea Reserve (494),Red,2015
80,14.0,Greece,22.82,Chardonnay,24.8,Chatzimichalis,"Estate Hadjimichali - Kapnias ""Vineyard Zygos"" (562)",White,2017
81,14.0,Greece,47.29,Cabernet Sauvignon,51.4,Tsantalis,Kormilitsa - Red (1756),Red,2014
82,13.5,Greece,27.6,Merlot,30.0,Chatzimichalis,"Hatzimichalis Estate - Merlot ""Vineyard Alargino"" (1548)",Red,2011
83,12.5,Greece,26.22,Chardonnay,28.5,Tsantalis,Kormilitsa - White (1757),White,2017
84,13.0,Greece,39.01,Cabernet Franc,42.4,Chatzimichalis,Hatzimichalis Estate - Opus IB Cabernet Franc (2795),Red,2004
85,12.0,Greece,8.73,Agiorgitiko,9.8,Gaia,Gaia 4-6h (3872),Red,2018
86,13.238694638694637,Greece,10.62,Aidani,11.8,Moraitis,Moraitis Rose (3997),Red,2018
87,13.5,Greece,12.51,Syrah,13.6,Tsantalis,Kanenas - Red (541),Red,2016
88,13.238694638694637,Greece,10.08,Monemvasia,11.2,Moraitis,Paros  White (3995),White,2018
89,13.0,Greece,9.38,Merlot,10.2,Anastasia Fragou,Savatiano (4270),Red,2018
90,13.238694638694637,Greece,16.74,Mantilaria,18.6,Moraitis,Paros Reserve (3998),Red,2015
91,14.0,Greece,25.3,Cabernet Sauvignon,27.5,Chatzimichalis,"Estate Hadjimichali - Kapnias ""Vineyard Zygos"" (563)",Red,2011
92,13.0,Greece,9.38,Cabernet Sauvignon,10.2,Anastasia Fragou,Savatiano (4269),Red,2017
93,13.238694638694637,Greece,27.42,Monemvasia,29.8,Moraitis,Malvasia Paros (4313),White,2016
94,12.0,Greece,13.71,Sauvignon Blanc,14.9,Lazaridis Costas,Amethystos - Sauvignon Blanc (35),White,2010
95,12.0,Greece,10.86,Sauvignon Blanc,11.8,Lazaridis Costas,Amethystos - White (36),White,2010
96,14.5,Greece,16.93,Refosco,18.4,Lazaridis Costas,Chateau Julia - Refosco Agiorgitiko (41),Red,2010
97,13.0,Greece,10.86,Cabernet Sauvignon,11.8,Lazaridis Costas,Amethystos - Rose (38),Red,2006
98,13.0,Greece,22.63,Cabernet Franc,24.6,Lazaridis Costas,Amethystos Cava (45),Red,2006
99,14.5,Greece,34.22,Syrah,37.2,Lazaridis Costas,Oenotria Ghi  - Syrah & Agiorgitiko (326),Red,2016
100,14.0,Greece,16.56,Syrah,18.0,Lazaridis Costas,Domaine Costa Lazaridi - Syrah (63),Red,2005
101,12.5,Greece,10.58,Sauvignon Blanc,11.5,Oinogenesis,Feggites - White (2132),White,2017
102,13.0,Greece,10.58,Cabernet Sauvignon,11.5,Oinogenesis,Feggites - Rose (2134),Red,2017
103,13.5,Greece,13.8,Cabernet Franc,15.0,Oinogenesis,Feggites - Red (2133),Red,2011
104,12.5,Greece,15.82,Sauvignon Blanc,17.2,Oinogenesis,Ten - White (2135),White,2012
105,12.5,Greece,11.13,Viognier,12.1,Oinogenesis,Thyrsus - White (2815),White,2016
106,12.0,Greece,7.47,Grenache Rouge,8.3,Oinogenesis,Scerzo - Rose (2261),Red,2018
107,13.238694638694637,Greece,12.24,Mantilaria,13.6,Moraitis,Paros  Red (3996),Red,2016
108,13.0,Greece,12.42,Merlot,13.5,Lazaridis Nico,To Mavro Provato - Red (2284),Red,2017
109,13.5,Greece,6.93,Grenache Rouge,7.7,Avantis,Avantis Estate - Red (2417),Red,2012
