alcohol_percent,country,discount_price,grape_variety,price,producer,product_name,wine_color,year
12.5,Greece,,Malagouzia,9.9,Anastasia Fragou,Neilys Malagouzia (2316),White,2018
14.5,Greece,,Merlot,23.2,ALPHA,Alpha Estate - Red (1994),Red,2016
12.8,Greece,,Cabernet Sauvignon,10.9,Claudia Papayianni,CP Red (2546),Red,2016
,Greece,,Cabernet Sauvignon,6.0,Cavino,Nea Dris- Cabernet (4092),Red,
11.5,Greece,,Moshofilero,7.2,Spiropoulos,Orino White (2448),White,2018
13.5,Greece,,Cabernet Sauvignon,16.1,Chatzimichalis,Hatzimichalis Estate - Cabernet Sauvignon (47),Red,2011
12,Greece,,Roditis,8.5,Gaia,Retinitis Nobilis (233),White,
14,Greece,,Agiorgitiko,24.9,Gaia,Gaia Estate - Red (234),Red,2016
13.8,Greece,,Agiorgitiko,21.7,Gaia,Anatolikos (239),Red,2006
13.5,Greece,,Agiorgitiko,10.0,Gaia,Agiorgitiko Gaia (236),Red,2017
13,Greece,,Agiorgitiko,11.4,Semeli,Semeli Nemea Reserve (494),Red,2015
13.5,Greece,,Merlot,30.0,Chatzimichalis,"Hatzimichalis Estate - Merlot ""Vineyard Alargino"" (1548)",Red,2011
12,Greece,,Chardonnay,10.5,Tsantalis,Kanenas - White (537),White,2018
14,Greece,,Chardonnay,24.8,Chatzimichalis,"Estate Hadjimichali - Kapnias ""Vineyard Zygos"" (562)",White,2017
14,Greece,,Cabernet Sauvignon,51.4,Tsantalis,Kormilitsa - Red (1756),Red,2014
12.5,Greece,,Chardonnay,28.5,Tsantalis,Kormilitsa - White (1757),White,2017
13,Greece,,Cabernet Franc,42.4,Chatzimichalis,Hatzimichalis Estate - Opus IB Cabernet Franc (2795),Red,2004
14,Greece,,Aidani,36.1,Gaia,Vinsanto by Gaia  (2668),White,2006
12,Greece,,Agiorgitiko,9.8,Gaia,Gaia 4-6h (3872),,2018
,Greece,,Monemvasia,11.2,Moraitis,Paros  White (3995),White,2018
13.5,Greece,,Syrah,13.6,Tsantalis,Kanenas - Red (541),Red,2016
,Greece,,Aidani,11.8,Moraitis,Moraitis Rose (3997),,2018
13,Greece,,Cabernet Sauvignon,10.2,Anastasia Fragou,Savatiano (4269),Red,2017
13,Greece,,Merlot,10.2,Anastasia Fragou,Savatiano (4270),,2018
14,Greece,,Cabernet Sauvignon,27.5,Chatzimichalis,"Estate Hadjimichali - Kapnias ""Vineyard Zygos"" (563)",Red,2011
,Greece,,Monemvasia,29.8,Moraitis,Malvasia Paros (4313),White,2016
,Greece,,Mantilaria,18.6,Moraitis,Paros Reserve (3998),Red,2015
12,Greece,,Sauvignon Blanc,14.9,Lazaridis Costas,Amethystos - Sauvignon Blanc (35),White,2010
12,Greece,,Sauvignon Blanc,11.8,Lazaridis Costas,Amethystos - White (36),White,2010
13,Greece,,Cabernet Sauvignon,11.8,Lazaridis Costas,Amethystos - Rose (38),,2006
14,Greece,,Syrah,18.0,Lazaridis Costas,Domaine Costa Lazaridi - Syrah (63),Red,2005
13,Greece,,Cabernet Franc,24.6,Lazaridis Costas,Amethystos Cava (45),Red,2006
12.5,Greece,,Sauvignon Blanc,11.5,Oinogenesis,Feggites - White (2132),White,2017
13.5,Greece,,Cabernet Franc,15.0,Oinogenesis,Feggites - Red (2133),Red,2011
14.5,Greece,,Syrah,37.2,Lazaridis Costas,Oenotria Ghi  - Syrah & Agiorgitiko (326),Red,2016
14.5,Greece,,Refosco,18.4,Lazaridis Costas,Chateau Julia - Refosco Agiorgitiko (41),Red,2010
13,Greece,,Cabernet Sauvignon,11.5,Oinogenesis,Feggites - Rose (2134),,2017
12.5,Greece,,Sauvignon Blanc,17.2,Oinogenesis,Ten - White (2135),White,2012
12,Greece,,Grenache Rouge,8.3,Oinogenesis,Scerzo - Rose (2261),,
"12,5",Greece,,Viognier,12.1,Oinogenesis,Thyrsus - White (2815),White,2016
13,Greece,,Merlot,13.5,Lazaridis Nico,To Mavro Provato - Red (2284),Red,2017
13,Greece,,Roditis,7.3,Kir Yiannis,Paraga - White (2288),White,2018
,Greece,,Mantilaria,13.6,Moraitis,Paros  Red (3996),Red,2016
13.5,Greece,,Grenache Rouge,7.7,Avantis,Avantis Estate - Red (2417),Red,2012
"13,5",Greece,,Liatiko,8.6,Douloufakis,Douloufakis - Dafnios Red (2579),Red,2016
12.5,Greece,,Malagouzia,9.9,Zafeirakis,Palaiomylos Malagouzia (2869),White,2018
,Greece,,Sauvignon Blanc,5.3,Douloufakis,Douloufakis - Enotria White (2998),White,2018
10,Greece,,Aidani,44.6,Gavalas,Vinsanto Gavalas (2939),White,2008
"14,5",Greece,,Merlot,11.8,Kir Yiannis,Kir-Yianni Estate (3107),Red,2016
14.5,Greece,,Cabernet Sauvignon,15.7,Lazaridis Costas,Amethystos - Red (37),Red,2009
12.5,Greece,,Sauvignon Blanc,11.3,Lazaridis Nico,Château Nico Lazaridi - White (58),White,2018
13,Greece,,Grenache Rouge,12.5,Lazaridis Nico,Nico Lazaridi F - Merlot & Grenache Rouge (61),Red,2017
14.5,Greece,,Cabernet Sauvignon,19.8,Lazaridis Costas,Oenotria Ghi - Cabernet Sauvignon & Agiorgitiko (44),Red,2016
"12,5",Greece,,Malagouzia,9.9,Anastasia Fragou,Savatiano (4268),White,2018
13,Greece,,Sauvignon Blanc,18.0,Lazaridis Nico,Magiko Vouno - White (111),White,2018
12.5,Greece,,Chardonnay,9.1,Lazaridis Nico,Chrysos Leon - Chardonnay (1827),White,2017
12.5,Greece,,Sauvignon Blanc,11.3,Lazaridis Nico,To Mavro Provato - White (2285),White,2018
14,Greece,,Cabernet Sauvignon,12.5,Douloufakis,Douloufakis - Aspros Lagos Cabernet (2306),Red,2016
13,Greece,,Cabernet Sauvignon,9.1,Lazaridis Nico,Chrysos Leon - Cabernet Sauvignon (1828),Red,2017
"14,5",Greece,,Cabernet Sauvignon,74.4,Palivos,Noima (2693),Red,2006
13.5,Greece,,Cabernet Sauvignon,17.3,Douloufakis,Douloufakis - Sangiovese (2308),Red,2014
