alcohol_percent,country,discount_price,grape_variety,price,producer,product_name,wine_color,year
13,Greece,,Merlot,8.6,Kir Yiannis,Paraga - Red (95),Red,2017
14.5,Greece,,Syrah,34.7,Kir Yiannis,Diaporos (319),Red,2016
13.5,Greece,,Chardonnay,13.6,Kir Yiannis,Tesseris Limnes (316),White,2018
,Greece,,Malagouzia,7.3,Barafakas Estate,Ampelou Idea White (2920),White,2017
,Greece,,Moshofilero,9.2,Troupis Estate,Tomi Mantineia (2982),White,2017
14.5,Greece,,Merlot,91.8,Kir Yiannis,Mple Alepou Magnum (M2465_2012),Red,1500
,Greece,,Chardonnay,10.7,Barafakas Estate,Thousand Years White (3171),White,2015
,Greece,,Gewurztraminer,29.8,Kir Yiannis,Chrysogerakas (3273),White,2013
,Greece,,Chardonnay,17.2,Zafeirakis,Propodes (3915),White,2016
,Greece,,Agiorgitiko,13.3,Barafakas Estate,Apocalypsis Barafakas (3914),Red,2013
12.5,Greece,,Viognier,7.1,Avantis,Avantis Estate - White (2416),White,2012
14,Greece,,Chardonnay,15.0,Techni Oinou,Idisma Drios - Chardonnay (2038),White,2016
13,Greece,,Gewurztraminer,11.8,Avantis,Avantis Estate - Lenga (4198),,2012
13,Greece,,Mantilaria,5.6,Lyrarakis,Lyrarakis - Mandilari Rose (2201),,2017
13,Greece,,Cabernet Sauvignon,25.1,Lyrarakis,Lyrarakis - Cabernet & Merlot (2205),Red,2012
14,Greece,,Syrah,15.0,Techni Oinou,Idisma Drios - Syrah (2208),Red,2011
14,Greece,,Tempranillo,20.5,Pavlidis,Emphasis - Tempranillo (2434),Red,2015
12,Greece,,Moshofilero,9.3,Skouras,Moschofilero Skoura (1829),White,2018
15,Greece,,Syrah,45.3,Pavlidis,Emphasis - Syrah Magnum (M2435),Red,1500
14.5,Greece,,Syrah,18.0,Skouras,Fleva (2290),Red,2017
13.5,Greece,,Viognier,13.1,Skouras,Viognier Cuvee Larsinos (113),White,2017
14,Greece,,Agiorgitiko,13.2,Aivalis,Nemea Aivali (133),Red,2017
13,Greece,,Syrah,7.5,Στροφιλιά,Strofilia Red (312),Red,2017
14.5,Greece,,Syrah,20.2,Manoussakis,Nostos Syrah (386),Red,2015
14,Greece,,Grenache Rouge,15.2,Manoussakis,Nostos Alexandra's (385),Red,2015
13.5,Greece,,Agiorgitiko,17.3,Papaioannou,Estate Papaioannou - Old vines (456),Red,2010
13.5,Greece,,Merlot,16.3,Katogi,Flogero (302),Red,2010
,Greece,,Chardonnay,11.8,Skouras,Armyra Skoura (3136),White,2017
12.8,Greece,,Mantilaria,13.0,Argyros,Atlantis - Red (2010),Red,2017
14,Greece,,Mantilaria,36.8,Chatzidakis,Hatzidakis - Mavrotragano (1837),Red,2016
13,Greece,,Chardonnay,12.0,Pieria Eratini,Efhes... Eratines - White (2043),White,2018
12.5,Greece,,Dafni,9.9,Lyrarakis,"Lyrarakis - Daphne ""Psarades"" (2194)",White,2009
13,Greece,,Syrah,18.8,Katogi,Rossiu di Munte - Syrah & Traminer (2486),Red,2009
14.5,Greece,,Syrah,38.4,Skouras,Fleva Magnum (M2290),Red,1500
,Greece,,Chardonnay,26.0,Skouras,Armyra Skoura Magnum (M3136),White,2017
13.5,Greece,,Syrah,12.0,Theopetra,Theopetra Estate - Rose (2586),,2018
14,Greece,,Syrah,62.0,Γεροβασιλείου (Κτήμα),Gerovassiliou - Evangelo (M244),Red,1500
"14,5",Greece,,Sauvignon Blanc,17.6,Γεροβασιλείου (Κτήμα),Gerovassiliou - Sauvignon Blanc Fume (240),White,2018
12,Greece,,Agiorgitiko,6.7,Papaioannou,Vineyard Papaioannou - Rose Agiorgitiko (452),,2018
13,Greece,,Malagouzia,19.2,Papagiannakos,Melias (3169),White,2015
,Greece,,Cabernet Sauvignon,8.6,Papagiannakos,Παπαγιαννάκος - Αγιωργίτικο - Cabernet (3204),Red,2016
14,Greece,,Cabernet Sauvignon,13.6,Kokalis,Mova (2867),Red,2015
,Greece,,Chardonnay,14.6,Silva-Daskalaki,Instinct White (2894),White,2017
12,Greece,,Moshofilero,16.3,Tselepos,Amalia Brut (549),White,
13,Greece,,Cabernet Sauvignon,15.1,Tselepos,Domaine Tselepos - Dilofos (2466),Red,2015
13.5,Greece,,Moshofilero,12.0,Tselepos,Tselepos - Blanc de Gris  (2896),White,2018
14,Greece,,Cabernet Sauvignon,23.8,Tselepos,Avlotopi (548),Red,2015
13,Greece,,Agiorgitiko,10.7,Dryopi,Dryope Estate - Nemea (262),Red,2016
,Greece,,Moshofilero,13.0,Semeli,Thea Mantinia (3780),White,2017
,Greece,,Cabernet Sauvignon,22.4,Papargyriou (Estate),Le Roi des Montagnes Cuvee (3781),Red,2016
12.5,Greece,,Malagouzia,13.6,Γεροβασιλείου (Κτήμα),Gerovassiliou - Malagouzia (2283),White,2018
,Greece,,Nebbiolo,18.2,Papargyriou (Estate),Don Giovanni (3822),Red,2016
13,Greece,,Merlot,13.8,Zacharias,Mavros eis ton kivo (1763),Red,2016
13.5,Greece,,Merlot,10.1,Anastasia Fragou,Alypius Oenos (2317),Red,2014
14.5,Greece,,Cabernet Franc,56.0,Kyros Melas,La Tour Melas (2552_2012),Red,2015
13.5,Greece,,Chardonnay,17.4,Katsaros,Domaine Katsaros - Chardonnay (295),White,2017
13.5,Greece,,Aidani,80.6,Argyros,Vinsanto 20 years Barrel Aged 1990 vintage  (175),White,1989
,Greece,,Athiri,15.3,Tsantalis,Agiorgitiko Abaton Gold (4146),White,
13.5,Greece,,Gewurztraminer,9.3,Vivlia Chora,Biblia Chora Estate - Naturally Sweet 375ml (2014),White,
14,Greece,,Cabernet Sauvignon,21.3,Karydas,Estate Karydas Collectible (2041),Red,2014
13,Greece,,Traminer,24.8,Vivlia Chora,Biblia Chora Estate - Naturally Sweet 375ml (4148),White,2016
13,Greece,,Syrah,15.7,Spiropoulos,Spyropoulos Estate - Syrah (506),Red,2007
13,Greece,,Syrah,6.3,Spiropoulos,Orino Red (2449),Red,2017
15,Greece,,Moshato Samou,6.6,Samos,Samos Vin Doux (516),White,2017
15,Greece,,Syrah,31.2,Pieria Eratini,Gimnos Vasilias (2042),Red,2016
,Greece,,Roditis,9.2,Τetramythos,Tetramythos White (3164),White,2018
12,Greece,,Chardonnay,17.6,Vivlia Chora,Plagios - White (2477),White,2017
14,Greece,,Sauvignon Blanc,11.7,Papaioannou,Vineyard Papaioannou - Aristocracy (447),White,2017
