Karipidis - Nebbiolo (2512),,17.30,15.92,Karipidis,Nebbiolo,2012,750ml,13,5%
Karipidis - Sauvignon Blanc Fume (2562),,14.60,13.43,Karipidis,Sauvignon Blanc,2018,750ml,12,5%
Cava Boutari  (2502),,10.40,9.57,Boutari,Cabernet Sauvignon,2010,750ml,13.5%
Plagies Gerakion - Red (2517),,22.40,20.59,Avantis,Syrah,2016,750ml,14%
Syrah Boutari (2617),,10.60,9.74,Boutari,Syrah,2016,750ml,14%
Vriniotis Syrah Wild Fermentation (2716),,43.60,40.11,Vrinioti Wines,Syrah,2015,750ml,
Malagouzia Markou (3092),,7.70,7.05,Markou,Malagouzia,2018,750ml,12.5%
ERGO Lantides White (3209),,10.00,9.20,Lantides,Sauvignon Blanc,2018,750ml,
Karipidis - Rose (4058),,,,Karipidis,Sangiovese,2018,750ml,12,5%
Oropedio (3175),,10.30,9.46,Boutari,Moshofilero,2017,11.5%,
Orinos Helios - Red (490),,8.60,7.74,Semeli,Syrah,2017,750ml,13%
La Vie en Rose (3255),,10.20,9.38,Palivos,Moshofilero,2008,750ml,11.5%
Savatiano Markou (4263),,7.40,6.80,Markou,Agiorgitiko,2018,750ml,
Dio Filoi - Pinot Noir (2274),,14.90,13.73,Dio Filoi,Pinot Noir,2016,750ml,13%
Sgouridis - Rose  (2420),,9.70,8.92,Sgouridis,Syrah,2016,750ml,12%
Terra Levea Red (2856),,8.60,7.88,Karanika,Cabernet Sauvignon,2015,750ml,13,5%
Ampelois - Malagouzia (2286),,13.00,11.96,Ampelois,Malagouzia,2018,750ml,12.5%
Savatiano Markou (4264),,8.70,8.00,Markou,Agiorgitiko,2016,750ml,
Little Arc - Rose (4046),,10.60,9.55,Lantides,Moshofilero,2017,750ml,
Lantides Estate - Nemea (1744),,10.10,9.09,Lantides,Agiorgitiko,2005,750ml,13%
Boutari - Ode  (6),,,,Boutari,Cabernet Sauvignon,2010,750ml,13.5%
Cava Lantides (1746),,17.40,16.01,Lantides,Cabernet Sauvignon,2005,750ml,14%
Ergo- Rose (1747),,9.50,8.74,Lantides,Cabernet Sauvignon,2018,750ml,13%
Symeonidis - Malagouzia  (2073),,10.70,9.62,Symeonidis,Malagouzia,2018,750ml,12.5%
Anemos - Red (2231),,7.50,6.90,Palivos,Agiorgitiko,2003,750ml,13%
Dio Filoi - White (2273),,,,Dio Filoi,Gewurztraminer,2018,750ml,13%
Karipidis - Merlot (2017),,14.70,13.52,Karipidis,Merlot,2014,750ml,14%
Adoli Ghi - White (1882),,,,Antonopoulos,Chardonnay,2018,750ml,11.5%
Karipidis - Sauvignon Blanc (2015),,11.30,10.40,Karipidis,Sauvignon Blanc,2018,750ml,12.5%
Ampelois Silver (2184),Available in three work days,14.80,13.62,Ampelois,Cabernet Sauvignon,2014,750ml,13.5%
Anemos - White (2407),,,,Palivos,Roditis,2018,750ml,13%
Philosopher (4080),,17.50,16.10,Akrathos,Agiorgitiko,2015,13.3%,
Karipidis - Syrah (2381),,14.50,13.34,Karipidis,Syrah,2013,750ml,13.5%
Alpha Estate - Pinot Noir (100),,16.70,15.36,ALPHA,Pinot Noir,2017,750ml,14.5%
Alpha Estate - Syrah Chelones (1997),,13.40,12.33,ALPHA,Syrah,2016,750ml,14%
Rapsani (11),,9.60,8.83,Tsantalis,Krasato,2016,750ml,13.5%
Neilys Malagouzia (2316),,9.90,9.11,Anastasia Fragou,Malagouzia,2018,750ml,12.5%
Alpha Estate - Malagouzia (2246),,10.70,9.84,ALPHA,Malagouzia,2018,750ml,13%
Alpha Estate - Red (1994),,23.20,21.34,ALPHA,Merlot,2016,750ml,14.5%
Alpha Estate - Sauvignon Blanc (1921),,,,ALPHA,Sauvignon Blanc,2018,750ml,13%
CP Red (2546),,10.90,10.03,Claudia Papayianni,Cabernet Sauvignon,2016,750ml,12.8%
Nea Dris- Cabernet (4092),,6.00,5.52,Cavino,Cabernet Sauvignon,750ml,,
